run_id,axis_horizons,chosen_score,empirical_p_value,lockin_well_identity,axis_mean_l2,axis_min_l2,baseline_horizon,best_axis,best_axis_p_value,mean_axis_p_value
run_0013,"e1:3,e2:4,e3:5,e4:8,e5:6,e6:9,e7:7,lockin:4",3.0,0.02,0.0,0.029631717901466455,0.0,4,e2,0.0105,0.0406875
run_0017,"e1:3,e2:4,e3:5,e4:8,e5:9,e6:7,e7:6,lockin:4",3.0,0.017,0.0,0.029631717901466455,0.0,4,lockin,0.013,0.0409375
run_0008,"e1:3,e2:4,e3:5,e4:7,e5:8,e6:6,e7:9,lockin:4",3.0,0.0135,0.0,0.029631717901466455,0.0,4,lockin,0.014,0.0404375
run_0010,"e1:3,e2:4,e3:5,e4:7,e5:9,e6:6,e7:8,lockin:4",3.0,0.015,0.0,0.029631717901466455,0.0,4,e2,0.0145,0.043625000000000004
run_0002,"e1:3,e2:4,e3:5,e4:6,e5:8,e6:7,e7:9,lockin:4",3.0,0.0175,0.0,0.029631717901466455,0.0,4,e2,0.0145,0.04225
run_0015,"e1:3,e2:4,e3:5,e4:8,e5:7,e6:9,e7:6,lockin:4",3.0,0.016,0.0,0.029631717901466455,0.0,4,e2,0.015,0.038625
run_0018,"e1:3,e2:4,e3:5,e4:9,e5:6,e6:7,e7:8,lockin:4",3.0,0.02,0.0,0.029631717901466455,0.0,4,lockin,0.015,0.04125
run_0012,"e1:3,e2:4,e3:5,e4:8,e5:6,e6:7,e7:9,lockin:4",3.0,0.0145,0.0,0.029631717901466455,0.0,4,e2,0.0155,0.0430625
run_0016,"e1:3,e2:4,e3:5,e4:8,e5:9,e6:6,e7:7,lockin:4",3.0,0.0145,0.0,0.029631717901466455,0.0,4,lockin,0.0155,0.0396875
run_0001,"e1:3,e2:4,e3:5,e4:6,e5:7,e6:9,e7:8,lockin:4",3.0,0.018,0.0,0.029631717901466455,0.0,4,e1,0.0155,0.0428125
run_0006,"e1:3,e2:4,e3:5,e4:7,e5:6,e6:8,e7:9,lockin:4",3.0,0.014,0.0,0.029631717901466455,0.0,4,e1,0.016,0.0406875
run_0011,"e1:3,e2:4,e3:5,e4:7,e5:9,e6:8,e7:6,lockin:4",3.0,0.019,0.0,0.029631717901466455,0.0,4,lockin,0.016,0.0388125
run_0004,"e1:3,e2:4,e3:5,e4:6,e5:9,e6:7,e7:8,lockin:4",3.0,0.0215,0.0,0.029631717901466455,0.0,4,lockin,0.016,0.041625
run_0009,"e1:3,e2:4,e3:5,e4:7,e5:8,e6:9,e7:6,lockin:4",3.0,0.013,0.0,0.029631717901466455,0.0,4,lockin,0.0165,0.0410625
run_0003,"e1:3,e2:4,e3:5,e4:6,e5:8,e6:9,e7:7,lockin:4",3.0,0.0145,0.0,0.029631717901466455,0.0,4,lockin,0.017,0.040125
run_0005,"e1:3,e2:4,e3:5,e4:6,e5:9,e6:8,e7:7,lockin:4",3.0,0.017,0.0,0.029631717901466455,0.0,4,e2,0.017,0.04175
run_0014,"e1:3,e2:4,e3:5,e4:8,e5:7,e6:6,e7:9,lockin:4",3.0,0.0165,0.0,0.029631717901466455,0.0,4,e2,0.0175,0.0431875
run_0019,"e1:3,e2:4,e3:5,e4:9,e5:6,e6:8,e7:7,lockin:4",3.0,0.013,0.0,0.029631717901466455,0.0,4,e3,0.018,0.0406875
run_0000,"e1:3,e2:4,e3:5,e4:6,e5:7,e6:8,e7:9,lockin:4",3.0,0.016,0.0,0.029631717901466455,0.0,4,lockin,0.0185,0.040375
run_0007,"e1:3,e2:4,e3:5,e4:7,e5:6,e6:9,e7:8,lockin:4",3.0,0.0155,0.0,0.029631717901466455,0.0,4,e1,0.021,0.042124999999999996
