horizon,lockin_well_depth,min_m,min_value,mean_value,smoothness_rindler,smoothness_no_rindler,excitation_score,minima_shells
2,0.12928375680864346,2,0.0,0.10254017455019813,0.054711027581967414,0.07214098655650805,4.0,2
3,0.04423626645379193,3,0.0,0.07012318500594751,0.05205125943964843,0.0645042088060833,3.5,3
4,0.0,4,0.0,0.05727914053898999,0.050631068557267164,0.05998060185330564,3.0,4
5,0.02759022331152392,5,0.0,0.05156747672042588,0.04973127713157525,0.05691576614382419,3.0,5
6,0.046674695230303785,6,0.0,0.04905787587771635,0.049102201550126894,0.05466642217837481,3.0,6
7,0.060789050594387634,7,0.0,0.048165840065159865,0.04863329607966341,0.05292568352512674,3.0,7
8,0.07172735880993171,8,0.0,0.04815154012934287,0.04826770050089066,0.05152676845350418,3.5,8
9,0.0805017563273494,9,0.0,0.04863395498873066,0.047973006051057754,0.05037042024631431,4.0,9
10,0.08772905518925514,10,0.0,0.049402773955926065,0.04772930176648858,0.04939346848358206,4.5,10
